letter,response
C,target
C,lure
F,nontarget
C,target
F,target
F,lure
E,nontarget
E,lure
D,nontarget
E,target
E,lure
E,target
A,nontarget
A,lure
A,target
C,nontarget
C,lure
B,nontarget
B,lure
B,target
A,nontarget
A,lure
A,target
F,nontarget
F,lure
F,target
C,nontarget
D,nontarget
D,lure
D,target
E,nontarget
D,target
D,lure
B,nontarget
B,lure
B,target
B,lure
D,nontarget
D,lure
D,target
A,nontarget
A,lure
C,nontarget
A,target
C,target
C,lure
B,nontarget
C,target
C,lure
E,nontarget
E,lure
E,target
C,nontarget
E,target
A,nontarget
A,lure
A,target
F,nontarget
F,lure
F,target
B,nontarget
F,target
B,target
B,lure
B,target
E,nontarget
E,lure
F,nontarget
F,lure
D,nontarget
D,lure
D,target
A,target
C,target
B,nontarget
C,target
B,target
B,lure
B,target
E,nontarget
E,lure
E,target
F,nontarget
F,lure
F,target
F,target
C,nontarget
C,lure
A,nontarget
A,lure
D,nontarget
D,lure
D,target
E,nontarget
E,lure
E,target
C,nontarget
C,lure
F,nontarget
F,lure
A,nontarget
A,lure
D,nontarget
A,target
D,target
D,lure
B,nontarget
B,lure
D,target
D,lure
B,nontarget
B,lure
B,target
C,nontarget
C,lure
D,nontarget
D,lure
A,nontarget
A,lure
A,target
A,target
F,nontarget
F,lure
A,nontarget
A,lure
D,nontarget
F,nontarget
D,target
F,target
F,lure
E,nontarget
F,target
E,target
E,lure
B,nontarget
E,target
B,target
B,lure
C,nontarget
C,lure
C,target
C,target
E,nontarget
E,lure
A,target
C,target
A,target
A,lure
D,nontarget
D,lure
D,target
D,target
A,nontarget
A,lure
F,nontarget
F,lure
E,nontarget
F,target
E,target
B,nontarget
B,lure
B,target
B,target
E,nontarget
E,lure
A,nontarget
E,target
E,lure
C,nontarget
C,lure
D,nontarget
D,lure
B,nontarget
B,lure
C,nontarget
C,lure
C,target
F,nontarget
F,lure
F,target
D,target
F,target
D,target
D,lure
F,nontarget
F,lure
F,target
B,nontarget
B,lure
B,target
C,nontarget
C,lure
C,target
E,nontarget
C,target
E,target
E,lure
E,target
A,nontarget
A,lure
C,nontarget
C,lure
A,nontarget
A,lure
A,target
D,nontarget
A,target
F,nontarget
F,lure
D,nontarget
D,lure
E,nontarget
E,lure
B,nontarget
B,lure
B,target
