letter,response
F,target
A,nontarget
C,target
D,nontarget
A,target
B,nontarget
D,target
C,nontarget
B,target
A,nontarget
A,nontarget
F,nontarget
F,nontarget
A,target
F,target
D,nontarget
A,target
B,nontarget
E,nontarget
E,nontarget
B,target
E,target
C,nontarget
B,target
E,target
C,target
E,nontarget
E,target
B,nontarget
D,nontarget
C,nontarget
F,nontarget
D,target
C,target
F,target
D,target
B,target
A,target
C,target
E,nontarget
A,target
F,nontarget
E,target
F,nontarget
C,nontarget
A,nontarget
F,target
C,target
F,nontarget
F,target
B,nontarget
A,nontarget
F,target
D,nontarget
B,nontarget
A,nontarget
D,target
B,target
A,target
D,target
E,nontarget
C,nontarget
D,target
E,target
D,nontarget
E,nontarget
E,target
C,nontarget
B,nontarget
D,nontarget
C,target
B,target
F,target
F,target
D,target
E,nontarget
C,nontarget
E,nontarget
B,nontarget
D,nontarget
B,nontarget
B,target
D,target
B,target
F,nontarget
B,nontarget
F,nontarget
E,nontarget
B,target
A,nontarget
E,target
C,nontarget
A,target
E,target
C,target
D,nontarget
E,target
C,target
C,nontarget
F,nontarget
C,target
A,nontarget
F,target
D,nontarget
A,target
A,nontarget
D,target
A,target
D,target
B,nontarget
B,target
A,nontarget
B,target
D,nontarget
E,nontarget
B,target
D,target
E,target
C,nontarget
F,nontarget
C,nontarget
C,target
F,target
C,target
C,target
F,target
A,nontarget
F,nontarget
F,target
A,target
D,nontarget
E,nontarget
A,target
B,nontarget
E,target
E,nontarget
D,nontarget
A,nontarget
E,target
D,target
A,target
C,nontarget
B,nontarget
F,nontarget
A,target
D,nontarget
C,target
A,target
D,target
C,target
C,nontarget
B,nontarget
D,nontarget
F,nontarget
C,nontarget
D,target
F,target
C,target
D,target
C,nontarget
A,nontarget
B,nontarget
E,nontarget
A,target
B,target
E,target
F,nontarget
B,target
E,target
F,target
B,target
B,nontarget
F,target
F,nontarget
D,nontarget
A,nontarget
E,nontarget
A,nontarget
E,nontarget
E,target
F,target
E,target
C,nontarget
F,target
E,target
D,nontarget
C,nontarget
B,nontarget
D,target
C,target
B,target
E,nontarget
F,nontarget
F,nontarget
A,nontarget
E,nontarget
F,target
A,target
E,target
A,nontarget
E,nontarget
C,nontarget
F,nontarget
B,nontarget
C,target
D,nontarget
B,target
C,target
A,nontarget
D,nontarget
B,nontarget
A,target
D,target
B,target
A,target
D,target
C,nontarget
A,target
B,nontarget
C,target
A,target
B,target
C,target
A,target
A,nontarget
C,target
F,nontarget
D,nontarget
B,nontarget
F,target
D,target
B,target
A,nontarget
F,nontarget
C,nontarget
F,nontarget
F,target
E,nontarget
F,target
D,nontarget
E,target
B,nontarget
D,target
D,nontarget
B,target
D,target
E,nontarget
A,nontarget
E,nontarget
E,target
C,nontarget
E,target
C,target
D,target
D,target
D,nontarget
A,nontarget
D,target
B,nontarget
A,target
C,nontarget
B,target
A,target
C,target
B,target
A,target
D,nontarget
E,nontarget
E,nontarget
B,nontarget
E,target
A,nontarget
B,target
E,target
B,nontarget
F,nontarget
E,target
F,nontarget
F,target
F,nontarget
E,nontarget
F,target
C,nontarget
C,nontarget
F,target
D,nontarget
C,target
A,nontarget
F,nontarget
E,target
D,target
B,nontarget
E,target
D,target
C,nontarget
D,nontarget
B,nontarget
A,nontarget
C,nontarget
B,target
A,target
C,target
B,target
A,target
C,target
B,target
C,nontarget
E,nontarget
A,nontarget
C,target
F,nontarget
A,target
B,nontarget
F,target
F,nontarget
E,nontarget
F,target
F,target
D,nontarget
D,nontarget
E,nontarget
D,target
A,nontarget
E,target
F,nontarget
E,nontarget
A,target
A,nontarget
D,nontarget
C,nontarget
A,target
C,nontarget
C,target
A,target
C,target
E,nontarget
D,nontarget
B,nontarget
E,target
D,target
B,target
F,nontarget
D,target
B,target
F,target
D,target
B,target
F,target
F,nontarget
D,nontarget
F,target
A,nontarget
B,nontarget
E,nontarget
B,nontarget
C,nontarget
E,target
A,nontarget
C,target
E,target
A,target
D,target
F,target
A,target
B,nontarget
D,nontarget
F,nontarget
A,nontarget
B,nontarget
E,nontarget
D,nontarget
B,target
E,target
D,target
B,target
F,nontarget
C,nontarget
B,target
B,nontarget
D,nontarget
A,nontarget
C,nontarget
D,target
