letter,response
B,response
B,response
B,target
B,target
A,no target
B,target
A,target
F,no target
F,no target
F,target
D,no target
F,target
D,target
F,target
E,no target
F,target
E,target
B,no target
C,no target
F,no target
B,no target
A,no target
B,target
A,target
D,no target
D,no target
B,no target
D,target
E,no target
D,target
E,target
D,target
A,no target
E,no target
C,no target
E,target
C,target
B,no target
C,target
A,no target
C,target
A,target
D,no target
A,target
F,no target
E,no target
C,no target
E,target
C,target
C,no target
B,response
D,response
C,no target
D,target
C,target
A,no target
C,target
A,target
A,no target
A,target
A,target
F,no target
D,no target
F,target
C,no target
F,target
C,target
A,no target
D,no target
A,target
D,target
E,no target
B,no target
E,target
B,target
B,no target
B,target
D,no target
E,no target
D,target
C,no target
A,no target
B,no target
C,no target
B,target
C,target
E,no target
F,no target
B,no target
F,target
B,target
E,no target
D,no target
E,target
D,target
E,target
F,no target
E,target
F,target
F,no target
A,response
C,response
A,target
C,target
C,no target
B,no target
B,no target
E,no target
B,target
B,no target
D,no target
B,target
D,target
B,target
D,target
B,target
F,no target
A,no target
A,no target
A,target
F,no target
B,no target
F,target
C,no target
F,target
F,no target
F,target
E,no target
E,no target
C,no target
E,target
C,target
E,target
C,target
A,no target
A,no target
D,no target
A,target
D,target
A,target
E,no target
D,no target
E,target
D,target
E,target
C,no target
F,no target
C,target
F,target
D,no target
C,response
E,response
C,target
E,target
D,no target
E,target
D,target
C,no target
F,no target
A,no target
F,target
A,target
E,no target
F,no target
B,no target
F,target
B,target
E,no target
B,target
F,no target
A,no target
C,no target
A,target
C,target
A,target
D,no target
D,no target
D,target
B,no target
D,target
B,target
B,no target
D,no target
B,target
D,target
C,no target
E,no target
C,target
F,no target
A,no target
F,target
A,target
F,target
B,no target
A,no target
E,no target
C,no target
E,target
C,target
E,target
A,
D,
A,target
D,target
D,no target
E,no target
E,no target
E,target
E,target
C,no target
E,target
C,target
E,target
C,target
C,no target
C,target
B,no target
F,no target
D,no target
E,no target
F,no target
C,no target
D,no target
C,target
B,no target
B,no target
B,target
B,target
A,no target
B,target
D,no target
B,target
D,target
A,no target
D,target
A,target
D,target
B,no target
A,no target
A,no target
E,no target
A,target
F,no target
A,target
F,target
C,no target
F,target
F,no target
F,target
F,target
