letter,response
B,
B,
B,target
B,target
A,no target
B,target
A,target
F,no target
F,no target
F,target
D,no target
F,target
D,target
F,target
E,no target
F,target
E,target
B,no target
C,no target
F,no target
B,no target
A,no target
B,target
A,target
D,no target
D,no target
B,no target
D,target
E,no target
D,target
E,target
D,target
A,no target
E,no target
C,no target
E,target
C,target
B,no target
C,target
A,no target
C,target
A,target
D,no target
A,target
F,no target
E,no target
C,no target
E,target
C,target
C,no target
