letter,response
C,target
A,lure
B,target
C,target
A,target
B,target
D,lure
A,target
D,lure
E,lure
A,target
D,target
E,target
B,lure
D,target
E,target
B,target
D,target
E,target
E,lure
A,lure
B,lure
E,target
A,target
E,lure
A,lure
C,lure
C,lure
C,lure
C,target
C,target
D,lure
E,lure
F,lure
C,lure
B,lure
D,lure
B,lure
F,lure
A,lure
B,target
F,target
F,lure
F,lure
F,target
F,target
F,target
D,target
A,lure
C,lure
D,target
B,lure
F,lure
D,target
B,target
F,target
E,lure
B,target
F,target
E,target
D,lure
E,lure
E,target
E,lure
C,lure
E,target
E,target
C,target
D,lure
C,lure
C,target
D,target
B,lure
B,lure
A,lure
B,target
B,target
F,lure
C,lure
D,lure
A,lure
C,target
E,lure
A,target
C,target
F,lure
A,target
F,lure
F,target
A,target
F,target
D,lure
B,lure
A,lure
E,target
A,target
C,target
C,lure
A,target
C,target
A,lure
D,lure
C,target
D,lure
D,target
F,lure
D,target
E,lure
F,target
E,lure
A,lure
F,target
E,target
C,lure
F,target
E,target
E,lure
F,target
F,lure
E,target
B,lure
B,lure
D,lure
A,lure
B,target
D,target
A,target
C,lure
D,target
A,target
C,target
F,lure
B,lure
B,lure
D,lure
B,target
B,target
F,lure
E,lure
C,lure
A,lure
F,target
F,lure
D,lure
F,target
E,lure
D,target
B,lure
A,lure
A,lure
B,target
A,target
D,lure
B,target
A,target
F,lure
B,target
A,target
F,target
C,lure
A,target
F,target
B,lure
D,lure
C,lure
E,lure
D,target
C,target
E,target
D,target
F,lure
E,target
D,target
A,lure
A,lure
C,lure
B,lure
F,lure
B,lure
C,lure
D,lure
B,target
C,target
E,lure
E,lure
C,target
E,target
E,target
F,lure
A,lure
B,target
C,lure
D,lure
D,lure
C,target
D,target
F,lure
A,lure
D,target
F,target
E,lure
B,lure
F,target
B,lure
C,lure
F,target
B,target
C,target
C,lure
A,lure
D,lure
B,lure
A,target
D,target
B,target
A,target
F,lure
C,lure
A,target
B,lure
C,target
D,lure
B,target
C,target
D,target
F,lure
E,lure
E,lure
F,target
E,target
A,lure
E,lure
E,target
A,target
E,target
D,target
E,target
C,target
C,lure
E,target
E,lure
E,lure
E,target
A,lure
C,lure
E,target
A,target
C,target
D,lure
F,lure
C,target
D,target
F,target
C,target
D,target
F,target
A,lure
F,lure
A,lure
C,lure
A,lure
F,lure
D,lure
A,target
B,lure
D,target
A,target
B,target
B,lure
B,lure
C,lure
B,target
B,target
F,lure
B,target
E,lure
F,target
D,lure
D,lure
F,target
B,lure
E,lure
E,target
E,target
D,target
F,lure
F,lure
E,lure
B,lure
F,target
E,target
B,target
F,target
E,target
C,lure
A,lure
D,lure
C,target
A,target
C,lure
C,target
B,lure
F,lure
B,lure
B,target
F,target
B,target
E,lure
F,target
A,lure
A,lure
C,lure
B,lure
A,target
C,target
B,target
D,lure
C,target
F,lure
E,lure
A,lure
E,lure
D,lure
A,target
D,lure
D,target
A,target
D,target
C,lure
B,lure
D,target
E,target
E,lure
D,target
D,lure
C,lure
D,target
D,target
A,lure
C,lure
F,lure
A,target
C,target
F,target
A,target
C,target
D,lure
A,target
B,lure
F,lure
E,lure
F,lure
E,lure
A,lure
F,target
E,target
D,lure
B,lure
E,target
A,lure
B,target
E,target
A,target
B,target
F,lure
B,lure
B,target
F,target
C,lure
B,target
A,lure
C,target
C,lure
D,lure
E,lure
C,target
F,lure
E,target
B,lure
F,target
E,target
F,lure
C,lure
F,lure
F,target
E,lure
B,lure
F,target
A,lure
B,target
B,lure
C,lure
B,target
D,lure
C,target
B,target
A,lure
C,target
C,lure
B,lure
D,lure
C,target
B,target
C,lure
C,target
E,lure
A,lure
E,lure
A,lure
A,target
E,target
A,target
A,target
D,lure
A,target
F,lure
D,target
E,lure
D,lure
D,target
E,target
D,target
D,target
A,target
C,target
A,target
C,lure
D,lure
F,lure
D,lure
C,lure
A,lure
A,lure
C,target
B,lure
A,target
F,lure
B,target
B,lure
D,lure
E,lure
B,target
D,target
E,target
E,lure
D,target
F,lure
F,lure
A,lure
A,lure
F,target
A,target
C,lure
F,target
C,lure
B,lure
F,target
C,target
E,lure
F,target
E,lure
B,lure
D,lure
E,target
B,target
D,target
E,target
B,target
D,target
E,target
F,target
F,target
C,lure
D,lure
A,lure
B,lure
E,lure
C,lure
B,target
D,lure
A,lure
C,lure
F,lure
A,target
C,target
E,lure
A,target
C,target
F,lure
F,lure
C,target
B,lure
D,lure
D,lure
B,target
F,lure
D,target
E,lure
F,target
D,target
E,target
F,target
D,target
E,target
A,lure
C,lure
E,target
A,target
C,target
E,target
E,lure
B,lure
B,lure
A,lure
B,target
B,target
A,target
D,target
D,target
A,lure
C,lure
A,lure
B,lure
B,lure
D,lure
B,target
A,lure
D,target
B,target
A,target
B,lure
D,lure
E,lure
A,lure
D,target
E,target
A,target
E,lure
F,lure
A,target
C,lure
F,target
A,target
C,target
F,target
E,lure
C,target
F,target
E,target
D,lure
E,lure
E,target
C,lure
B,lure
